Date,Tweet,User_Location,sentiment,sentiment_label
2023-05-25,"RT @drdave1999: A Texas high school had to postpone its graduation when only 5 seniors qualified (!!!!).

Said one parent, “Of course, with…","Calabasas, CA",0.390625,Positive
2023-05-25,"RT @thomasmay_eth: The #Refund airdrop is Ending!

Connect and Claim $RFD tokens at
🔗 https://t.co/18NeXfo5NG

#NextPEPE $VIX #FOMC Snipa N…",,0.0,Neutral
2023-05-25,RT @iHad2GoGetit: Ngl Apple not giving us a charger &amp; headphones anymore is CRAZYYY,,0.0,Neutral
2023-05-25,"RT @thomasmay_eth: The #Refund airdrop is Ending!

Connect and Claim $RFD tokens at
🔗 https://t.co/18NeXfo5NG

#NextPEPE $VIX #FOMC Snipa N…",,0.0,Neutral
2023-05-25,"RT @ProjectLincoln: When elected officials are trying to reach GenZ, it’s crucial to not only meet them on the platforms where they are, bu…",World,0.0,Neutral
2023-05-25,@DrLoupis Adam’s apple,"Doral, FL",0.0,Neutral
2023-05-25,RT @RepSwalwell: As America approaches default Kevin McCarthy would rather take a break than work to protect your job and savings. If this…,,0.0,Neutral
2023-05-25,"RT @drdave1999: A Texas high school had to postpone its graduation when only 5 seniors qualified (!!!!).

Said one parent, “Of course, with…",,0.390625,Positive
2023-05-25,What was the point of Twitter ever narcing on you for posting from your iPhone or Android or desktop?,,0.0,Neutral
2023-05-25,@alanimilann Them damn cherry &amp; apple turnovers💯,wolfmouth1@gmail.com,0.0,Neutral
2023-05-25,"RT @thomasmay_eth: The #Refund airdrop is Ending!

Connect and Claim $RFD tokens at
🔗 https://t.co/18NeXfo5NG

#NextPEPE $VIX #FOMC Snipa N…",Thailand,0.0,Neutral
2023-05-25,RT @samtripoli: Check out my favorite new podcast “Jason Gillearn’s Chatbot!” I have never laughed this hard at a podcast! Check out the ep…,,-0.011032196969696983,Negative
2023-05-25,"RT @thomasmay_eth: The #Refund airdrop is Ending!

Connect and Claim $RFD tokens at
🔗 https://t.co/18NeXfo5NG

#NextPEPE $VIX #FOMC Snipa N…",,0.0,Neutral
2023-05-25,@BenjaminHutter2 @juliaknowsjulia got that right .. Apple .. Steve Jobs ..📱,,0.2857142857142857,Positive
2023-05-25,"RT @thomasmay_eth: The #Refund airdrop is Ending!

Connect and Claim $RFD tokens at
🔗 https://t.co/18NeXfo5NG

#NextPEPE $VIX #FOMC Snipa N…",,0.0,Neutral
2023-05-25,"RT @thomasmay_eth: The #Refund airdrop is Ending!

Connect and Claim $RFD tokens at
🔗 https://t.co/18NeXfo5NG

#NextPEPE $VIX #FOMC Snipa N…",,0.0,Neutral
2023-05-25,"RT @rolypoly97: iphone apps wiggling to distract you so you won’t delete them 
https://t.co/GbJdOYz16d",Canada,0.0,Neutral
2023-05-25,RT @NuhProblem: @hananazizi77 Hope is an user who excels at playing the victim and the innocent. Thomas is the  latest shiny red apple to h…,DRESDEN ,0.23125,Positive
